Proteome ID	Organism	Organism ID	Protein count	Taxon mnemonic	Taxonomic lineage	proteome-components	genome assembly id
UP000241546	Trichoderma citrinoviride (Strain: TUCIM 6016)	58853	9735		Eukaryota, Fungi, Dikarya, Ascomycota, Pezizomycotina, Sordariomycetes, Hypocreomycetidae, Hypocreales, Hypocreaceae, Trichoderma	Unassembled WGS sequence	GCA_003025115.1
UP000028760	Poecilia formosa (Amazon molly) (Limia formosa) (Strain: female)	48698	30440	POEFO	Eukaryota, Metazoa, Chordata, Craniata, Vertebrata, Euteleostomi, Actinopterygii, Neopterygii, Teleostei, Neoteleostei, Acanthomorphata, Ovalentaria, Atherinomorphae, Cyprinodontiformes, Poeciliidae, Poeciliinae, Poecilia	Unassembled WGS sequence	GCA_000485575.1
UP000000768	Sorghum bicolor (Sorghum) (Sorghum vulgare) (Strain: cv. BTx623)	4558	41380	SORBI	Eukaryota, Viridiplantae, Streptophyta, Embryophyta, Tracheophyta, Spermatophyta, Magnoliophyta, Liliopsida, Poales, Poaceae, PACMAD clade, Panicoideae, Andropogonodae, Andropogoneae, Sorghinae, Sorghum	Unassembled WGS sequence; Chromosome 1; Chromosome 2; Chromosome 3; Chromosome 4; Chromosome 5; Chromosome 6; Chromosome 7; Chromosome 8; Chromosome 9; Chromosome 10; Chloroplast	GCA_000003195.3
UP000000542	Leishmania major (Strain: MHOM/IL/81/Friedlin)	5664	8038	LEIMA	Eukaryota, Euglenozoa, Kinetoplastida, Trypanosomatidae, Leishmaniinae, Leishmania	Chromosome 1; Chromosome 2; Chromosome 3; Chromosome 4; Chromosome 5; Chromosome 6; Chromosome 7; Chromosome 8; Chromosome 9; Chromosome 10; Chromosome 11; Chromosome 12; Chromosome 13; Chromosome 14; Chromosome 15; Chromosome 16; Chromosome 17; Chromosome 18; Chromosome 19; Chromosome 20; Chromosome 21; Chromosome 22; Chromosome 23; Chromosome 24; Chromosome 25; Chromosome 26; Chromosome 27; Chromosome 28; Chromosome 29; Chromosome 30; Chromosome 31; Chromosome 32; Chromosome 33; Chromosome 34; Chromosome 35; Chromosome 36	GCA_000002725.2
UP000077755	Daucus carota subsp. sativus (Strain: cv. DH1)	79200	31771		Eukaryota, Viridiplantae, Streptophyta, Embryophyta, Tracheophyta, Spermatophyta, Magnoliophyta, eudicotyledons, Gunneridae, Pentapetalae, asterids, campanulids, Apiales, Apiaceae, Apioideae, Scandiceae, Daucinae, Daucus, Daucus sect. Daucus	Chromosome 1; Chromosome 2; Chromosome 3; Chromosome 4; Chromosome 5; Chromosome 6; Chromosome 7; Chromosome 8; Chromosome 9; Unassembled WGS sequence; Plastid	GCA_001625215.1
UP000007304	Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis) (Strain: ATCC 34100 / CBS 525.76 / NIH/UT8656)	858893	9391	EXODN	Eukaryota, Fungi, Dikarya, Ascomycota, Pezizomycotina, Eurotiomycetes, Chaetothyriomycetidae, Chaetothyriales, Herpotrichiellaceae, Exophiala	Unassembled WGS sequence; Mitochondrion	GCA_000230625.1
UP000054561	Plasmodium fragile (Strain: nilgiri)	5857	5638	PLAFR	Eukaryota, Alveolata, Apicomplexa, Aconoidasida, Haemosporida, Plasmodiidae, Plasmodium, Plasmodium (Plasmodium)	Unassembled WGS sequence	GCA_000956335.1
UP000186817	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica) (Strain: CCMP2467)	2951	43269	SYMMI	Eukaryota, Alveolata, Dinophyceae, Suessiales, Symbiodiniaceae, Symbiodinium	Unassembled WGS sequence	GCA_001939145.1
UP000244005	Marchantia polymorpha (Liverwort) (Marchantia aquatica) (Strain: Tak-1)	3197	21856	MARPO	Eukaryota, Viridiplantae, Streptophyta, Embryophyta, Marchantiophyta, Marchantiopsida, Marchantiidae, Marchantiales, Marchantiaceae, Marchantia	Unassembled WGS sequence	GCA_003032435.1
UP000053537	Acanthisitta chloris (rifleman)	57068	9650		Eukaryota, Metazoa, Chordata, Craniata, Vertebrata, Euteleostomi, Archelosauria, Archosauria, Dinosauria, Saurischia, Theropoda, Coelurosauria, Aves, Neognathae, Passeriformes, Acanthisittidae, Acanthisitta	Unassembled WGS sequence	GCA_000695815.1
