Proteome ID	Organism	Organism ID	Protein count	Taxon mnemonic	Taxonomic lineage	proteome-components	Genome assembly ID
UP000239858	Isoptericola sp. CG 20 (Strain: CG 20)	1881052	3485		Bacteria, Actinobacteria, Micrococcales, Promicromonosporaceae, Isoptericola	Unassembled WGS sequence	GCA_003003335.1
UP000010307	Micromonospora sp. ATCC 39149 (Strain: ATCC 39149)	219305	5614		Bacteria, Actinobacteria, Micromonosporales, Micromonosporaceae, Micromonospora	Unassembled WGS sequence	GCA_000158815.1
UP000002526	Bradyrhizobium diazoefficiens (strain JCM 10833 / IAM 13628 / NBRC 14792 / USDA 110) (Strain: JCM 10833 / IAM 13628 / NBRC 14792 / USDA 110)	224911	8253	BRADU	Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium	Chromosome	GCA_000011365.1
UP000054869	Legionella lansingensis (Strain: ATCC 49751)	45067	2630		Bacteria, Proteobacteria, Gammaproteobacteria, Legionellales, Legionellaceae, Legionella	Unassembled WGS sequence	GCA_001467795.1
UP000005167	endosymbiont of Tevnia jerichonana (vent Tica)	1049564	3230		Bacteria, Proteobacteria, Gammaproteobacteria, sulfur-oxidizing symbionts	Unassembled WGS sequence	GCA_000224925.2
UP000199424	Idiomarina maritima (Strain: CGMCC 1.7285)	519453	2268		Bacteria, Proteobacteria, Gammaproteobacteria, Alteromonadales, Idiomarinaceae, Idiomarina	Unassembled WGS sequence	GCA_900115255.1
UP000238362	Prauserella shujinwangii (Strain: CGMCC 4.7125)	1453103	5884		Bacteria, Actinobacteria, Pseudonocardiales, Pseudonocardiaceae, Prauserella	Unassembled WGS sequence	GCA_003001955.1
UP000239068	Polaribacter glomeratus (Strain: ATCC 43844)	102	3368		Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Polaribacter	Unassembled WGS sequence	GCA_002954665.1
UP000230661	Parvibaculum sp.	2024848	3501		Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Rhodobiaceae, Parvibaculum	Unassembled WGS sequence	GCA_002700265.1
UP000011757	Marinobacter sp. BSs20148 (Strain: BSs20148)	490759	3885		Bacteria, Proteobacteria, Gammaproteobacteria, Alteromonadales, Alteromonadaceae, Marinobacter	Chromosome	GCA_000283275.1
UP000238041	Microbacterium sp. MYb72 (Strain: MYb72)	1848693	3628		Bacteria, Actinobacteria, Micrococcales, Microbacteriaceae, Microbacterium	Unassembled WGS sequence	GCA_002979415.1
UP000177714	Gammaproteobacteria bacterium RIFOXYD12_FULL_61_37	1798308	3093		Bacteria, Proteobacteria, Gammaproteobacteria	Unassembled WGS sequence	GCA_001801995.1
UP000199577	Parapedobacter composti (Strain: DSM 22900)	623281	3985		Bacteria, Bacteroidetes, Sphingobacteriia, Sphingobacteriales, Sphingobacteriaceae, Parapedobacter	Unassembled WGS sequence	GCA_900112315.1
UP000001364	Caulobacter vibrioides (strain NA1000 / CB15N) (Caulobacter crescentus) (Strain: NA1000 / CB15N)	565050	3859	CAUVN	Bacteria, Proteobacteria, Alphaproteobacteria, Caulobacterales, Caulobacteraceae, Caulobacter	Chromosome	GCA_000022005.1
UP000245212	Bordetella sp. 3d-2-2 (Strain: 3d-2-2)	2175229	3237		Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Bordetella	Unassembled WGS sequence	GCA_003123725.1
UP000013026	Meiothermus ruber (strain ATCC 35948 / DSM 1279 / VKM B-1258 / 21) (Thermus ruber) (Strain: ATCC 35948 / DSM 1279 / VKM B-1258 / 21)	504728	3037	MEIRD	Bacteria, Deinococcus-Thermus, Deinococci, Thermales, Thermaceae, Meiothermus	Chromosome	GCA_000376665.1
UP000015607	Alicyclobacillus acidoterrestris (strain ATCC 49025 / DSM 3922 / CIP 106132 / NCIMB 13137 / GD3B) (Strain: ATCC 49025 / DSM 3922 / CIP 106132 / NCIMB 13137 / GD3B)	1356854	4102	ALIAG	Bacteria, Firmicutes, Bacilli, Bacillales, Alicyclobacillaceae, Alicyclobacillus	Unassembled WGS sequence	GCA_000444055.1
UP000007719	Dictyoglomus turgidum (strain Z-1310 / DSM 6724) (Strain: Z-1310 / DSM 6724)	515635	1743	DICTD	Bacteria, Dictyoglomi, Dictyoglomales, Dictyoglomaceae, Dictyoglomus	Chromosome	GCA_000021645.1
UP000004198	Clostridium carboxidivorans P7 (Strain: P7)	536227	5458		Bacteria, Firmicutes, Clostridia, Clostridiales, Clostridiaceae, Clostridium	Unassembled WGS sequence	GCA_000175595.1
UP000199127	Sarcina sp. DSM 11001 (Strain: DSM 11001)	1798184	3187		Bacteria, Firmicutes, Clostridia, Clostridiales, Clostridiaceae, Sarcina	Unassembled WGS sequence	GCA_900101015.1
