Proteome ID	Organism	Organism ID	Protein count	Taxon mnemonic	Taxonomic lineage	proteome-components	Genome assembly ID
UP000001686	Korarchaeum cryptofilum (strain OPF8) (Strain: OPF8)	374847	1602	KORCO	Archaea, Candidatus Korarchaeota, Candidatus Korarchaeum	Chromosome	GCA_000019605.1
UP000005877	Methanosaeta harundinacea (strain 6Ac) (Strain: 6Ac)	1110509	2358	METH6	Archaea, Euryarchaeota, Stenosarchaea group, Methanomicrobia, Methanosarcinales, Methanosaetaceae, Methanothrix	Chromosome; Plasmid pH6Ac	GCA_000235565.1
UP000176807	Candidatus Micrarchaeota archaeon RBG_16_49_10	1801633	992		Archaea, Candidatus Micrarchaeota	Unassembled WGS sequence	GCA_001784635.1
UP000070657	candidate divison MSBL1 archaeon SCGC-AAA259E22	1698265	843		Archaea, Euryarchaeota, candidate division MSBL1	Unassembled WGS sequence	GCA_001548955.1
UP000199079	Halopenitus persicus (Strain: DC30,IBRC 10041,KCTC 4046)	1048396	3343		Archaea, Euryarchaeota, Stenosarchaea group, Halobacteria, Haloferacales, Halorubraceae, Halopenitus	Unassembled WGS sequence	GCA_900107205.1
UP000070414	candidate divison MSBL1 archaeon SCGC-AAA259I14	1698268	774		Archaea, Euryarchaeota, candidate division MSBL1	Unassembled WGS sequence	GCA_001549015.1
UP000053781	Thermoplasmatales archaeon SCGC AB-539-N05	1198116	844		Archaea, Euryarchaeota, Diaforarchaea group, Thermoplasmata, Thermoplasmatales	Unassembled WGS sequence	GCA_000349645.1
UP000077275	Methanobrevibacter cuticularis (Strain: DSM 11139)	47311	2061		Archaea, Euryarchaeota, Methanomada group, Methanobacteria, Methanobacteriales, Methanobacteriaceae, Methanobrevibacter	Unassembled WGS sequence	GCA_001639285.1
UP000001488	Thermococcus gammatolerans (strain DSM 15229 / JCM 11827 / EJ3) (Strain: DSM 15229 / JCM 11827 / EJ3)	593117	2157	THEGJ	Archaea, Euryarchaeota, Thermococci, Thermococcales, Thermococcaceae, Thermococcus	Chromosome	GCA_000022365.1
UP000176481	Candidatus Bathyarchaeota archaeon RBG_13_46_16b	1797378	1317		Archaea, Candidatus Bathyarchaeota	Unassembled WGS sequence	GCA_001774235.1
UP000008680	Methanobrevibacter ruminantium (strain ATCC 35063 / DSM 1093 / JCM 13430 / OCM 146 / M1) (Methanobacterium ruminantium) (Strain: ATCC 35063 / DSM 1093 / JCM 13430 / OCM 146 / M1)	634498	2209	METRM	Archaea, Euryarchaeota, Methanomada group, Methanobacteria, Methanobacteriales, Methanobacteriaceae, Methanobrevibacter	Chromosome	GCA_000024185.1
UP000011513	Halogeometricum pallidum JCM 14848 (Strain: JCM 14848)	1227487	4246		Archaea, Euryarchaeota, Stenosarchaea group, Halobacteria, Haloferacales, Haloferacaceae, Halogeometricum	Unassembled WGS sequence	GCA_000337095.1
UP000019027	Thermococcus paralvinellae (Strain: ES1)	582419	2014		Archaea, Euryarchaeota, Thermococci, Thermococcales, Thermococcaceae, Thermococcus	Chromosome	GCA_000517445.1
UP000011867	Natronomonas moolapensis (strain DSM 18674 / JCM 14361 / 8.8.11) (Strain: DSM 18674 / JCM 14361 / 8.8.11)	268739	2723	NATM8	Archaea, Euryarchaeota, Stenosarchaea group, Halobacteria, Halobacteriales, Haloarculaceae, Natronomonas	Chromosome	GCA_000591055.1
UP000002408	Methanoregula boonei (strain DSM 21154 / JCM 14090 / 6A8) (Strain: DSM 21154 / JCM 14090 / 6A8)	456442	2450	METB6	Archaea, Euryarchaeota, Stenosarchaea group, Methanomicrobia, Methanomicrobiales, Methanoregulaceae, Methanoregula	Chromosome	GCA_000017625.1
UP000030660	uncultured archaeon A07HR67	1412871	2887		Archaea, environmental samples	Unassembled WGS sequence	GCA_000496175.1
UP000225238	Halorubrum sp. C3 (Strain: C3)	1483399	3589		Archaea, Euryarchaeota, Stenosarchaea group, Halobacteria, Haloferacales, Halorubraceae, Halorubrum	Unassembled WGS sequence	GCA_002727105.1
UP000245657	Methanospirillum lacunae (Strain: Ki8-1)	668570	3377		Archaea, Euryarchaeota, Stenosarchaea group, Methanomicrobia, Methanomicrobiales, Methanospirillaceae, Methanospirillum	Unassembled WGS sequence	GCA_003173355.1
UP000054237	Candidatus Methanomethylophilus sp. 1R26 (Strain: 1R26)	1769296	1473		Archaea, Euryarchaeota, Diaforarchaea group, Thermoplasmata, Methanomassiliicoccales, Methanomassiliicoccaceae, Candidatus Methanomethylophilus	Unassembled WGS sequence	GCA_001481295.1
UP000094087	Candidatus Altiarchaeales archaeon WOR_SM1_86-2	1849364	2066		Archaea, Euryarchaeota, Candidatus Altiarchaeales	Unassembled WGS sequence	GCA_001723855.1
UP000077245	Methanobrevibacter curvatus (Strain: DSM 11111)	49547	1968		Archaea, Euryarchaeota, Methanomada group, Methanobacteria, Methanobacteriales, Methanobacteriaceae, Methanobrevibacter	Unassembled WGS sequence	GCA_001639295.1
UP000002727	Thermococcus onnurineus (strain NA1) (Strain: NA1)	523850	1976	THEON	Archaea, Euryarchaeota, Thermococci, Thermococcales, Thermococcaceae, Thermococcus	Chromosome	GCA_000018365.1
UP000176884	Euryarchaeota archaeon RBG_13_61_15	1797978	731		Archaea, Euryarchaeota	Unassembled WGS sequence	GCA_001800715.1
UP000192741	Candidatus Altiarchaeales archaeon A3	1933927	1305		Archaea, Euryarchaeota, Candidatus Altiarchaeales	Unassembled WGS sequence	GCA_002083985.1
UP000011632	Natrinema versiforme JCM 10478 (Strain: JCM 10478)	1227496	4160		Archaea, Euryarchaeota, Stenosarchaea group, Halobacteria, Natrialbales, Natrialbaceae, Natrinema	Unassembled WGS sequence	GCA_000337195.1
UP000000242	Metallosphaera sedula (strain ATCC 51363 / DSM 5348 / JCM 9185 / NBRC 15509 / TH2) (Strain: ATCC 51363 / DSM 5348 / JCM 9185 / NBRC 15509 / TH2)	399549	2256	METS5	Archaea, Crenarchaeota, Thermoprotei, Sulfolobales, Sulfolobaceae, Metallosphaera	Chromosome	GCA_000016605.1
UP000001304	Ignisphaera aggregans (strain DSM 17230 / JCM 13409 / AQ1.S1) (Strain: DSM 17230 / JCM 13409 / AQ1.S1)	583356	1929	IGNAA	Archaea, Crenarchaeota, Thermoprotei, Desulfurococcales, Desulfurococcaceae, Ignisphaera	Chromosome	GCA_000145985.1
UP000003423	Candidatus Nitrosopumilus salaria BD31 (Strain: BD31)	859350	2154		Archaea, Thaumarchaeota, Nitrosopumilales, Nitrosopumilaceae, Nitrosopumilus	Unassembled WGS sequence	GCA_000242875.3
UP000249457	Methanosphaera sp. rholeuAM270	1945577	1611		Archaea, Euryarchaeota, Methanomada group, Methanobacteria, Methanobacteriales, Methanobacteriaceae, Methanosphaera	Unassembled WGS sequence	GCA_003266165.1
UP000228612	Candidatus Micrarchaeota archaeon CG08_land_8_20_14_0_20_59_11	1974414	866		Archaea, Candidatus Micrarchaeota	Unassembled WGS sequence	GCA_002763345.1
UP000030648	uncultured archaeon A07HB70	1412872	2513		Archaea, environmental samples	Unassembled WGS sequence	GCA_000496195.1
UP000070405	candidate divison MSBL1 archaeon SCGC-AAA261G05	1698276	601		Archaea, Euryarchaeota, candidate division MSBL1	Unassembled WGS sequence	GCA_001549415.1
UP000216244	Candidatus Altiarchaeales archaeon ex4484_96	2012508	1009		Archaea, Euryarchaeota, Candidatus Altiarchaeales	Unassembled WGS sequence	GCA_002254405.1
UP000054284	Sulfolobales archaeon AZ1	1326980	1975		Archaea, Crenarchaeota, Thermoprotei, Sulfolobales, unclassified Sulfolobales	Unassembled WGS sequence	GCA_000565255.1
