Proteome ID	Organism	Organism ID	Protein count	Taxon mnemonic	Taxonomic lineage	proteome-components	genome assembly id
UP000006720	Rice gall dwarf virus (RGDV)	10986	12	RGDV	Viruses, dsRNA viruses, Reoviridae, Sedoreovirinae, Phytoreovirus	Genome	GCA_000870625.1
UP000000840	Enterobacteria phage T7 (Bacteriophage T7)	10760	57	BPT7	Viruses, dsDNA viruses, no RNA stage, Caudovirales, Podoviridae, Autographivirinae, T7virus	Genome	GCA_000844825.1
UP000207720	Le Dantec virus (Strain: DakHD763)	318848	6		Viruses, ssRNA viruses, ssRNA negative-strand viruses, Mononegavirales, Rhabdoviridae, Ledantevirus	Genome	GCA_002118505.1
UP000002539	Mycobacterium phage PBI1	373410	81		Viruses, dsDNA viruses, no RNA stage, Caudovirales, Siphoviridae, Pbi1virus	Genome	GCA_000867425.1
UP000016455	Salmonella phage SPC32H	1327941	51		Viruses, dsDNA viruses, no RNA stage, Caudovirales, Podoviridae	Genome	GCA_002755655.1
UP000002127	Escherichia phage MS2 (Bacteriophage MS2)	329852	4	BPMS2	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Leviviridae, Levivirus	Genome	GCA_000847485.1
UP000001098	Feline calicivirus (strain Cat/United States/Urbana/1960) (FCV) (Strain: Cat/United States/Urbana/1960)	292349	3	FCVUR	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Caliciviridae, Vesivirus	Genome	GCA_000853345.1
UP000202912	Chrysanthemum virus B (CVB)	12165	6	CVB	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Tymovirales, Betaflexiviridae, Quinvirinae, Carlavirus	Genome	GCA_000870605.1
UP000119000	Midway nyavirus	644609	6		Viruses, ssRNA viruses, ssRNA negative-strand viruses, Mononegavirales, Nyamiviridae, Nyavirus	Genome	GCA_000883875.1
UP000202324	Maize white line mosaic Satellite virus (MWLMV) (Satellite maize white line mosaic virus)	31503	1	MWLMV	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Aumaivirus	Genome	GCA_000851265.1
UP000000410	Tomato ringspot virus (isolate raspberry) (ToRSV) (Strain: Isolate raspberry)	12281	4	TORVR	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Secoviridae, Comovirinae, Nepovirus	Genome	GCA_000860465.1
UP000000403	Heterosigma akashiwo RNA virus (strain SOG263) (HaRNAV) (Strain: SOG263)	239720	1	HARNA	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Marnaviridae, Marnavirus	Genome	GCA_000863545.1
UP000140113	Primate bocaparvovirus 1 (strain Human bocavirus 1 type 1) (HBoV1) (Human bocavirus type 1) (Strain: st2)	689403	3	HBOC1	Viruses, ssDNA viruses, Parvoviridae, Parvovirinae, Bocaparvovirus, Primate bocaparvovirus 1	Genome	GCA_000866725.1
UP000002259	His 2 virus (His2V) (Haloarcula hispanica virus 2)	128710	35	HIS2V	Viruses, DNA viruses, Pleolipoviridae	Genome	GCA_000864585.1
UP000029779	Helicoverpa zea nudivirus 2 (HzNV-2)	1128424	113	HZNV2	Viruses, dsDNA viruses, no RNA stage, Nudiviridae, Betanudivirus	Genome	GCA_000841925.1
UP000223624	Salmonella phage 18-India	1647402	60		Viruses, dsDNA viruses, no RNA stage, Caudovirales, Myoviridae	Genome	GCA_002605845.1
UP000223654	Vibrio phage pVa-2	1897752	89		Viruses, dsDNA viruses, no RNA stage, Caudovirales, Siphoviridae	Genome	GCA_002613885.1
UP000203340	Wuhan Insect virus 4 (Strain: YCYC03)	1608109	6		Viruses, ssRNA viruses, ssRNA negative-strand viruses, Mononegavirales, Rhabdoviridae, Cytorhabdovirus, unclassified Cytorhabdovirus	Genome	GCA_001755445.1
UP000016882	Staphylococcus phage phiRS7	1403390	62		Viruses, dsDNA viruses, no RNA stage, Caudovirales, Siphoviridae	Genome	GCA_000913115.1
UP000002611	Escherichia phage Mu (Bacteriophage Mu)	10677	55	BPMU	Viruses, dsDNA viruses, no RNA stage, Caudovirales, Myoviridae, Muvirus	Genome	GCA_000837225.1
UP000008292	Autographa californica nuclear polyhedrosis virus (AcMNPV)	46015	155	NPVAC	Viruses, dsDNA viruses, no RNA stage, Baculoviridae, Alphabaculovirus	Genome	GCA_000838485.1
